image,rating,reviews_count,price,original_price,delivery_info,title,url
https://m.media-amazon.com/images/I/61dYf1JrcXL._AC_UY218_.jpg,4.7 out of 5 stars,343,$13.99,$7.00,Delivery,,
https://m.media-amazon.com/images/I/51bdZadVHzL._AC_UY218_.jpg,4.2 out of 5 stars,16,$29.99,,Delivery,,
https://m.media-amazon.com/images/I/61gVxJTOcCL._AC_UY218_.jpg,3.8 out of 5 stars,22,$19.70,,Delivery,,
https://m.media-amazon.com/images/I/71NW2QaIzlL._AC_UY218_.jpg,4.5 out of 5 stars,703,,,,,
https://m.media-amazon.com/images/I/71slFjJerBL._AC_UY218_.jpg,4.1 out of 5 stars,303,,,,,
https://m.media-amazon.com/images/I/61aOzROrv8L._AC_UY218_.jpg,4.4 out of 5 stars,167,$145.00,$155.00,$16.39 delivery,,
https://m.media-amazon.com/images/I/61Fu+4IS11L._AC_UY218_.jpg,4.5 out of 5 stars,43,$899.99,,$18.81 delivery,,
https://m.media-amazon.com/images/I/61l+mHNIm4L._AC_UY218_.jpg,4.6 out of 5 stars,206,$249.99,$299.99,Delivery,,
https://m.media-amazon.com/images/I/61TSw1kcNlL._AC_UY218_.jpg,4.5 out of 5 stars,343,,,,,
https://m.media-amazon.com/images/I/51GwFZTvLtL._AC_UY218_.jpg,4.6 out of 5 stars,337,,,,,
https://m.media-amazon.com/images/I/51Xdv5a4cXL._AC_UY218_.jpg,4.0 out of 5 stars,703,$44.00,,Delivery,,
https://m.media-amazon.com/images/I/81LAPCJsWNL._AC_UY218_.jpg,4.2 out of 5 stars,876,$129.00,$179.99,Delivery,,
https://m.media-amazon.com/images/I/61PSwxcN8wL._AC_UY218_.jpg,4.3 out of 5 stars,439,$49.99,,Delivery,,
https://m.media-amazon.com/images/I/51UhwaQXCpL._AC_UY218_.jpg,4.2 out of 5 stars,"102,707",$46.99,,Delivery,,
https://m.media-amazon.com/images/I/61BbBAlGcqL._AC_UY218_.jpg,4.2 out of 5 stars,188,$19.98,$21.99,Delivery,,
https://m.media-amazon.com/images/I/61+KXVOLONL._AC_UY218_.jpg,5.0 out of 5 stars,3,$159.99,$179.99,$16.49 delivery,,
https://m.media-amazon.com/images/I/71SfoZu9a3L._AC_UY218_.jpg,4.3 out of 5 stars,"2,965",,,,,
https://m.media-amazon.com/images/I/5171kgKguGL._AC_UY218_.jpg,4.1 out of 5 stars,"36,867",$49.00,,Delivery,,
https://m.media-amazon.com/images/I/51NPl2yfGoL._AC_UY218_.jpg,4.3 out of 5 stars,75,$125.99,$149.99,Delivery,,
https://m.media-amazon.com/images/I/61Q+ciZKVoL._AC_UY218_.jpg,4.6 out of 5 stars,"8,693",$8.99,$1.80,Delivery,,
https://m.media-amazon.com/images/I/61i8zouQ+wL._AC_UY218_.jpg,3.8 out of 5 stars,19,$19.99,,Delivery,,
https://m.media-amazon.com/images/I/51JxfghPRwL._AC_UY218_.jpg,4.3 out of 5 stars,"1,747",$45.70,$48.50,Delivery,,
https://m.media-amazon.com/images/I/61Hx8OI1SoL._AC_UY218_.jpg,4.5 out of 5 stars,481,$51.97,$69.99,Delivery,,
https://m.media-amazon.com/images/I/61lHWNNfZFL._AC_UY218_.jpg,4.6 out of 5 stars,118,$46.99,,Delivery,,
https://m.media-amazon.com/images/I/61aUlKfrO+L._AC_UY218_.jpg,4.7 out of 5 stars,126,$49.99,,$22.29 delivery,,
https://m.media-amazon.com/images/I/414OKh3xZlL._AC_UY218_.jpg,4.5 out of 5 stars,"4,712",$61.78,,Delivery,,
https://m.media-amazon.com/images/I/71fyPNrquOL._AC_UY218_.jpg,4.3 out of 5 stars,21,,,,,
https://m.media-amazon.com/images/I/51U7MeAH4kL._AC_UY218_.jpg,4.2 out of 5 stars,449,$19.99,$24.99,$14.75 delivery,,
https://m.media-amazon.com/images/I/61dkn9TEP3L._AC_UY218_.jpg,4.6 out of 5 stars,863,$54.99,,Delivery,,
https://m.media-amazon.com/images/I/61IFYFVTzKL._AC_UY218_.jpg,4.4 out of 5 stars,"4,043",$195.99,,Delivery,,
https://m.media-amazon.com/images/I/31hUscnd1CL._AC_UY218_.jpg,4.5 out of 5 stars,872,$29.99,,Delivery,,
https://m.media-amazon.com/images/I/61t2kQ+xWdL._AC_UY218_.jpg,4.5 out of 5 stars,251,$99.99,$129.99,Delivery,,
https://m.media-amazon.com/images/I/51l33sW0GSL._AC_UY218_.jpg,4.2 out of 5 stars,"1,681",$24.69,$26.99,Delivery,,
https://m.media-amazon.com/images/I/519WXuJlUIL._AC_UY218_.jpg,4.5 out of 5 stars,241,$64.99,$74.99,$26.67 delivery,,
https://m.media-amazon.com/images/I/61OhQCN2QFL._AC_UY218_.jpg,4.1 out of 5 stars,270,$29.99,,Delivery,,
https://m.media-amazon.com/images/I/415g+aAf40L._AC_UY218_.jpg,4.3 out of 5 stars,652,$17.68,,Delivery,,
https://m.media-amazon.com/images/I/61QPebck4lL._AC_UY218_.jpg,4.3 out of 5 stars,"1,429",$44.90,,Delivery,,
https://m.media-amazon.com/images/I/81Dhb3CDMQL._AC_UY218_.jpg,4.5 out of 5 stars,45,$66.99,,Delivery,,
https://m.media-amazon.com/images/I/71oM-ntW-+L._AC_UY218_.jpg,4.6 out of 5 stars,91,$25.85,,Delivery,,
https://m.media-amazon.com/images/I/81Mya-dPIOL._AC_UY218_.jpg,4.3 out of 5 stars,"2,965",,,,,
https://m.media-amazon.com/images/I/61bFypVJVyL._AC_UY218_.jpg,4.1 out of 5 stars,528,,,,,
https://m.media-amazon.com/images/I/61S2wW8oIHL._AC_UY218_.jpg,4.3 out of 5 stars,"2,746",,,,,
https://m.media-amazon.com/images/I/51+K31jdSqL._AC_UY218_.jpg,,,,,,,
https://m.media-amazon.com/images/I/41VWAvAYwWL._AC_UY218_.jpg,4.4 out of 5 stars,"7,077",,,,,
https://m.media-amazon.com/images/I/51B42GPnCoL._AC_UY218_.jpg,4.1 out of 5 stars,385,$229.00,,$15.23 delivery,,
https://m.media-amazon.com/images/I/41kZD9bJ9QL._AC_UY218_.jpg,3.5 out of 5 stars,3,$100.59,$109.99,Delivery,,
https://m.media-amazon.com/images/I/61YH+VmvQwL._AC_UY218_.jpg,4.4 out of 5 stars,"8,414",$119.00,$199.99,Delivery,,
https://m.media-amazon.com/images/I/61GWeXVQSdL._AC_UY218_.jpg,4.1 out of 5 stars,"3,322",$153.20,,Delivery,,
https://m.media-amazon.com/images/I/51Nsm1pGJzL._AC_UY218_.jpg,3.6 out of 5 stars,8,$129.99,$149.99,Delivery,,
https://m.media-amazon.com/images/I/71InxCkBBcL._AC_UY218_.jpg,4.3 out of 5 stars,"7,144",$9.99,$11.99,Delivery,,
https://m.media-amazon.com/images/I/510wm50VDHL._AC_UY218_.jpg,4.1 out of 5 stars,305,$99.98,,Delivery,,
https://m.media-amazon.com/images/I/41ZusOvkDDL._AC_UY218_.jpg,4.8 out of 5 stars,54,$27.75,$29.99,$15.46 delivery,,
https://m.media-amazon.com/images/I/51yJEThe2BL._AC_UY218_.jpg,4.3 out of 5 stars,"1,184",$26.45,$34.99,Delivery,,
https://m.media-amazon.com/images/I/61W88zdNSXL._AC_UY218_.jpg,4.5 out of 5 stars,90,$68.59,$99.99,$33.78 delivery,,
https://m.media-amazon.com/images/I/71EL3KInR4L._AC_UY218_.jpg,4.4 out of 5 stars,"21,155",$9.99,,Delivery,,
https://m.media-amazon.com/images/I/71vxyxHeABL._AC_UY218_.jpg,4.2 out of 5 stars,269,$18.99,,$15.23 delivery,,
https://m.media-amazon.com/images/I/61zXqh4IbZL._AC_UY218_.jpg,4.5 out of 5 stars,45,$18.99,,Delivery,,
https://m.media-amazon.com/images/I/71B+RJte8-L._AC_UY218_.jpg,3.1 out of 5 stars,27,$15.99,,Delivery,,
